"Source2","Min.same","Min.diff","Strain","Isolate","state","SNP.cluster","season"
"environment",0,1,"CFSAN004372","PDT000000058.5","WI","PDS000016149.19","Winter"
"environment",1,1,"CFSAN004355","PDT000000059.5","WI","PDS000016149.19","Spring"
"environment",0,0,"CFSAN004366","PDT000000060.5","WI","PDS000016149.19","Spring"
"environment",2,4,"CFSAN004359","PDT000000061.5","WI","PDS000016149.19","Spring"
"environment",1,2,"CFSAN004375","PDT000000064.5","WI","PDS000016149.19","Winter"
"environment",0,1,"CFSAN004370","PDT000000066.5","WI","PDS000016149.19","Winter"
"environment",2,2,"CFSAN004351","PDT000000069.5","WI","PDS000016149.19","Spring"
"environment",1,3,"CFSAN004367","PDT000000072.5","WI","PDS000016149.19","Spring"
"dairy",0,0,"CFSAN006123","PDT000000075.5","MN","PDS000016149.19","Winter"
"environment",0,0,"CFSAN004350","PDT000000079.5","WI","PDS000016149.19","Spring"
"environment",0,0,"CFSAN004363","PDT000000084.5","WI","PDS000016149.19","Spring"
"environment",1,3,"CFSAN004374","PDT000000085.5","WI","PDS000016149.19","Winter"
"environment",0,0,"CFSAN004357","PDT000000086.5","WI","PDS000016149.19","Spring"
"environment",0,0,"CFSAN004349","PDT000000091.5","WI","PDS000016149.19","Spring"
"environment",0,1,"CFSAN004371","PDT000000095.5","WI","PDS000016149.19","Winter"
"environment",0,0,"CFSAN004348","PDT000000096.5","WI","PDS000016149.19","Spring"
"environment",0,0,"CFSAN004369","PDT000000098.5","WI","PDS000016149.19","Spring"
"environment",3,5,"CFSAN004360","PDT000000100.5","WI","PDS000016149.19","Spring"
"environment",4,4,"CFSAN004354","PDT000000107.5","WI","PDS000016149.19","Spring"
"dairy",3,1,"CFSAN004442","PDT000000595.5","NY","PDS000025008.8","Spring"
"environment",2,2,"CFSAN004443","PDT000000596.5","NY","PDS000024685.58","Summer"
"environment",0,0,"CFSAN004444","PDT000000597.5","NY","PDS000024685.58","Summer"
"environment",2,2,"CFSAN004445","PDT000000598.5","NY","PDS000024685.58","Summer"
"environment",0,0,"CFSAN004447","PDT000000600.5","NY","PDS000024685.58","Summer"
"sea_food",0,0,"CFSAN004448","PDT000000601.5","NY","PDS000024685.58","Summer"
"sea_food",0,0,"CFSAN004449","PDT000000602.5","NY","PDS000024685.58","Summer"
"environment",0,0,"CFSAN004368","PDT000000013.5","WI","PDS000016149.19","Spring"
"environment",1,2,"CFSAN004361","PDT000000014.5","WI","PDS000016149.19","Spring"
"environment",1,3,"CFSAN004377","PDT000000018.5","WI","PDS000016149.19","Winter"
"environment",2,2,"CFSAN004358","PDT000000028.5","WI","PDS000016149.19","Spring"
"environment",1,1,"CFSAN004352","PDT000000035.5","WI","PDS000016149.19","Spring"
"environment",2,2,"CFSAN004376","PDT000000036.5","WI","PDS000016149.19","Winter"
"dairy",0,0,"CFSAN006121","PDT000000046.5","MN","PDS000016149.19","Winter"
"environment",1,0,"CFSAN004353","PDT000000049.5","WI","PDS000016149.19","Spring"
"environment",2,4,"CFSAN004373","PDT000000051.5","WI","PDS000016149.19","Winter"
"environment",0,0,"CFSAN004364","PDT000000052.5","WI","PDS000016149.19","Spring"
"environment",1,1,"CFSAN004356","PDT000000024.5","WI","PDS000016149.19","Spring"
"environment",1,3,"CFSAN004365","PDT000000025.5","WI","PDS000016149.19","Spring"
"leafy_greens",5,17,"CFSAN007132","PDT000001268.5","OR","PDS000024989.120","Summer"
"sea_food",3,7,"CFSAN007133","PDT000001269.5","WA","PDS000024989.120","Winter"
"sea_food",8,23,"CFSAN007134","PDT000001270.5","WA","PDS000024989.120","Spring"
"poultry",0,26,"CFSAN007135","PDT000001271.5","WA","PDS000024989.120","Fall"
"environment",0,20,"CFSAN007138","PDT000001274.5","WA","PDS000024989.120","Winter"
"environment",10,25,"CFSAN007142","PDT000001276.5","CA","PDS000024989.120","Spring"
"environment",0,5,"CFSAN006478","PDT000001335.5","WI","PDS000024989.120","Fall"
"vegetables",0,4,"CFSAN006462","PDT000001336.5","WI","PDS000024989.120","Fall"
"environment",0,3,"CFSAN006473","PDT000001337.5","WI","PDS000024989.120","Fall"
"environment",0,24,"CFSAN006476","PDT000001339.5","WI","PDS000024989.120","Fall"
"vegetables",0,1,"CFSAN006461","PDT000001341.5","WI","PDS000024989.120","Fall"
"environment",0,3,"CFSAN006468","PDT000001342.5","WI","PDS000024989.120","Fall"
"environment",0,20,"CFSAN006477","PDT000001344.5","WI","PDS000024989.120","Fall"
"vegetables",2,2,"CFSAN006460","PDT000001345.5","WI","PDS000024989.120","Fall"
"environment",0,20,"CFSAN006475","PDT000001347.5","WI","PDS000024989.120","Fall"
"environment",0,5,"CFSAN006469","PDT000001349.5","WI","PDS000024989.120","Fall"
"environment",0,3,"CFSAN006471","PDT000001350.5","WI","PDS000024989.120","Fall"
"environment",0,3,"CFSAN006474","PDT000001352.5","WI","PDS000024989.120","Fall"
"environment",0,2,"CFSAN006479","PDT000001357.5","WI","PDS000024989.120","Fall"
"environment",0,2,"CFSAN006472","PDT000001358.5","WI","PDS000024989.120","Fall"
"environment",0,2,"CFSAN006470","PDT000001359.5","WI","PDS000024989.120","Fall"
"human",21,15,"PNUSAL000369","PDT000001536.5","NY","PDS000024574.25","Fall"
"other",1,13,"CFSAN005390","PDT000001695.5","CA","PDS000024989.120","Summer"
"other",4,11,"CFSAN005391","PDT000001696.5","CA","PDS000024989.120","Summer"
"environment",0,22,"CFSAN007165","PDT000001884.5","WI","PDS000025161.10","Fall"
"environment",0,21,"CFSAN007166","PDT000001885.5","WI","PDS000025161.10","Fall"
"environment",1,3,"CFSAN007167","PDT000001886.5","WI","PDS000024989.120","Fall"
"other",0,20,"CFSAN007169","PDT000001888.5","WI","PDS000025161.10","Fall"
"vegetables",1,23,"WAPHL_LIS_A00001","PDT000002164.3","WA","PDS000024989.120","Winter"
"vegetables",0,22,"WAPHL_LIS_A00002","PDT000002165.3","WA","PDS000024989.120","Winter"
"vegetables",0,22,"WAPHL_LIS_A00003","PDT000002166.3","WA","PDS000024989.120","Winter"
"environment",28,27,"CFSAN007516","PDT000002433.3","MI","PDS000025433.69","Fall"
"environment",9,28,"CFSAN007517","PDT000002434.3","IL","PDS000024196.41","Fall"
"environment",11,30,"CFSAN007518","PDT000002435.3","IL","PDS000024196.41","Fall"
"environment",4,33,"CFSAN007519","PDT000002436.3","IL","PDS000024196.41","Fall"
"environment",7,25,"CFSAN007525","PDT000002440.3","NY","PDS000095316.2","Fall"
"environment",15,16,"CFSAN007535","PDT000002448.4","PA","PDS000000366.504","Fall"
"environment",14,13,"CFSAN007536","PDT000002449.4","PA","PDS000024196.41","Fall"
"environment",0,14,"CFSAN007541","PDT000002454.4","NC","PDS000025433.69","Fall"
"environment",6,20,"CFSAN007542","PDT000002455.4","NC","PDS000025433.69","Fall"
"environment",2,16,"CFSAN007543","PDT000002456.4","NC","PDS000025433.69","Fall"
"environment",30,27,"CFSAN007544","PDT000002457.4","NC","PDS000024989.120","Fall"
"environment",14,27,"CFSAN007545","PDT000002458.4","NC","PDS000025466.69","Fall"
"environment",1,15,"CFSAN007546","PDT000002459.4","NC","PDS000025433.69","Fall"
"environment",12,44,"CFSAN007547","PDT000002460.8","CA","PDS000003313.18","Fall"
"environment",2,26,"CFSAN007557","PDT000002462.3","CA","PDS000024989.120","Fall"
"environment",7,33,"CFSAN007558","PDT000002463.3","CA","PDS000024989.120","Fall"
"environment",6,29,"CFSAN007561","PDT000002465.3","CA","PDS000024989.120","Fall"
"environment",5,29,"CFSAN007562","PDT000002466.3","CA","PDS000024989.120","Fall"
"environment",2,40,"CFSAN007563","PDT000002467.3","CA","PDS000003313.18","Fall"
"environment",1,19,"CFSAN007579","PDT000003113.3","CA","PDS000024933.2","Winter"
"environment",0,7,"CFSAN007580","PDT000003114.3","CA","PDS000000366.504","Winter"
"environment",3,17,"CFSAN007581","PDT000003115.3","CA","PDS000024933.2","Winter"
"environment",0,25,"CFSAN007582","PDT000003116.3","CA","PDS000000366.504","Winter"
"environment",0,26,"CFSAN007583","PDT000003117.3","CA","PDS000000366.504","Winter"
"environment",0,26,"CFSAN007584","PDT000003118.3","CA","PDS000000366.504","Winter"
"environment",0,27,"CFSAN007910","PDT000003123.3","NY","PDS000000366.504","Winter"
"environment",0,27,"CFSAN007911","PDT000003124.4","NY","PDS000000366.504","Winter"
"environment",1,24,"CFSAN007914","PDT000003127.3","NY","PDS000000366.504","Winter"
"environment",0,7,"CFSAN007915","PDT000003128.3","CA","PDS000000366.504","Winter"
"environment",1,19,"CFSAN007916","PDT000003129.3","CA","PDS000024933.2","Winter"
"environment",1,8,"CFSAN007917","PDT000003130.3","CA","PDS000000366.504","Winter"
"environment",0,18,"CFSAN007918","PDT000003131.3","CA","PDS000024933.2","Winter"
"environment",0,18,"CFSAN007919","PDT000003132.3","CA","PDS000024933.2","Winter"
"environment",2,18,"CFSAN007920","PDT000003133.3","CA","PDS000024933.2","Winter"
"environment",1,18,"CFSAN007921","PDT000003134.3","CA","PDS000024933.2","Winter"
"environment",0,25,"CFSAN007922","PDT000003135.3","CA","PDS000000366.504","Winter"
"environment",0,25,"CFSAN007923","PDT000003136.3","CA","PDS000000366.504","Winter"
"environment",0,24,"CFSAN007924","PDT000003137.3","CA","PDS000000366.504","Winter"
"leafy_greens",4,31,"CFSAN002243","PDT000000802.5","AZ","PDS000024196.41","Spring"
"human",3,12,"PNUSAL000270","PDT000001113.5","NY","PDS000024967.100","Fall"
"human",27,24,"PNUSAL000228","PDT000001114.6","NY","PDS000043859.3","Fall"
"human",3,5,"PNUSAL000298","PDT000001211.5","NY","PDS000024607.13","Fall"
"human",3,13,"PNUSAL000299","PDT000001212.5","NY","PDS000025008.8","Fall"
"human",12,11,"PNUSAL000300","PDT000001213.5","NY","PDS000000240.15","Fall"
"environment",3,6,"CFSAN007925","PDT000003138.3","CA","PDS000000366.504","Winter"
"environment",0,24,"CFSAN007926","PDT000003139.3","CA","PDS000000366.504","Winter"
"environment",0,24,"CFSAN007927","PDT000003140.3","CA","PDS000000366.504","Winter"
"environment",1,25,"CFSAN007928","PDT000003141.3","CA","PDS000000366.504","Winter"
"environment",0,24,"CFSAN007929","PDT000003142.3","CA","PDS000000366.504","Winter"
"environment",0,24,"CFSAN007585","PDT000003147.3","CA","PDS000000366.504","Winter"
"environment",1,24,"CFSAN007909","PDT000003148.3","NY","PDS000000366.504","Winter"
"human",22,16,"PNUSAL000268","PDT000001112.5","NY","PDS000000366.504","Fall"
"vegetables",1,3,"CFSAN007163","PDT000001882.5","WI","PDS000024989.120","Fall"
"leafy_greens",0,21,"CFSAN007164","PDT000001883.5","WI","PDS000025161.10","Fall"
"environment",3,39,"CFSAN007548","PDT000003514.4","CA","PDS000003313.18","Fall"
"environment",2,38,"CFSAN007552","PDT000003516.4","CA","PDS000003313.18","Fall"
"sea_food",0,23,"NYAG13B11436-4","PDT000003621.3","NY","PDS000004809.20","Fall"
"dairy",2,3,"VA-WGS-00221","PDT000003699.4","VA","PDS000000397.16","Winter"
"dairy",0,1,"VA-WGS-00222","PDT000003854.3","VA","PDS000000397.16","Winter"
"dairy",3,6,"VA-WGS-00231","PDT000003855.3","VA","PDS000000397.16","Winter"
"dairy",2,6,"CFSAN010069","PDT000003856.3","MD","PDS000000397.16","Winter"
"dairy",0,4,"CFSAN010071","PDT000003857.3","MD","PDS000000397.16","Winter"
"dairy",0,2,"CFSAN010073","PDT000003858.3","MD","PDS000000397.16","Winter"
"dairy",0,3,"CFSAN010077","PDT000003859.3","MD","PDS000000397.16","Winter"
"dairy",2,3,"CFSAN010072","PDT000003881.3","MD","PDS000000397.16","Winter"
"dairy",0,3,"CFSAN010074","PDT000003882.3","MD","PDS000000397.16","Winter"
"dairy",0,1,"CFSAN010075","PDT000003883.3","MD","PDS000000397.16","Winter"
"dairy",2,3,"CFSAN010076","PDT000003884.3","MD","PDS000000397.16","Winter"
"dairy",0,4,"CFSAN010070","PDT000003885.3","MD","PDS000000397.16","Winter"
