"Source","Min.same","Min.diff","Location","Strain","Isolate","state"
"dairy",0,0,"USA","CFSAN006123","PDT000000075.5","MN"
"dairy",3,1,"USA","CFSAN004442","PDT000000595.5","NY"
"fish",0,0,"USA","CFSAN004448","PDT000000601.5","NY"
"fish",0,0,"USA","CFSAN004449","PDT000000602.5","NY"
"dairy",0,0,"USA","CFSAN006121","PDT000000046.5","MN"
"fish",3,7,"USA","CFSAN007133","PDT000001269.5","WA"
"fish",8,23,"USA","CFSAN007134","PDT000001270.5","WA"
"fish",0,23,"USA","NYAG13B11436-4","PDT000003621.3","NY"
"dairy",2,3,"USA","VA-WGS-00221","PDT000003699.4","VA"
"dairy",0,1,"USA","VA-WGS-00222","PDT000003854.3","VA"
"dairy",3,6,"USA","VA-WGS-00231","PDT000003855.3","VA"
"dairy",2,6,"USA","CFSAN010069","PDT000003856.3","MD"
"dairy",0,4,"USA","CFSAN010071","PDT000003857.3","MD"
"dairy",0,2,"USA","CFSAN010073","PDT000003858.3","MD"
"dairy",0,3,"USA","CFSAN010077","PDT000003859.3","MD"
"dairy",2,3,"USA","CFSAN010072","PDT000003881.3","MD"
"dairy",0,3,"USA","CFSAN010074","PDT000003882.3","MD"
"dairy",0,1,"USA","CFSAN010075","PDT000003883.3","MD"
"dairy",2,3,"USA","CFSAN010076","PDT000003884.3","MD"
"dairy",0,4,"USA","CFSAN010070","PDT000003885.3","MD"
"dairy",0,2,"USA","VA-WGS-00224","PDT000003886.3","VA"
"dairy",2,5,"USA","VA-WGS-00225","PDT000003887.3","VA"
"dairy",1,4,"USA","VA-WGS-00226","PDT000003888.3","VA"
"dairy",1,2,"USA","VA-WGS-00227","PDT000003889.3","VA"
"dairy",0,1,"USA","VA-WGS-00228","PDT000003890.3","VA"
"dairy",5,8,"USA","VA-WGS-00229","PDT000003891.3","VA"
"dairy",0,4,"USA","VA-WGS-00230","PDT000003892.3","VA"
"dairy",1,3,"USA","VA-WGS-00223","PDT000003914.3","VA"
"dairy",0,2,"USA","VA-WGS-00232","PDT000004046.3","VA"
"dairy",1,4,"USA","VA-WGS-00233","PDT000004047.3","VA"
"dairy",2,3,"USA","VA-WGS-00234","PDT000004048.3","VA"
"dairy",1,2,"USA","VA-WGS-00235","PDT000004049.3","VA"
"dairy",2,3,"USA","VA-WGS-00236","PDT000004050.3","VA"
"dairy",1,3,"USA","VA-WGS-00237","PDT000004051.3","VA"
"dairy",0,2,"USA","VA-WGS-00238","PDT000004052.3","VA"
"dairy",7,0,"USA","NYAG12B11863-1","PDT000024365.3","NY"
"pork",0,30,"USA","CFSAN011019","PDT000024389.3","TX"
"pork",0,30,"USA","CFSAN011020","PDT000024390.3","TX"
"pork",0,30,"USA","CFSAN011022","PDT000024392.3","TX"
"chicken",2,24,"USA","CFSAN007972","PDT000024473.3","CA"
"chicken",16,30,"USA","CFSAN007979","PDT000024474.3","CA"
"beans",9,29,"USA","CFSAN008024","PDT000024482.3","WA"
"chicken",0,22,"USA","CFSAN007973","PDT000024508.3","CA"
"chicken",31,24,"USA","CFSAN007978","PDT000024513.3","CA"
"chicken",28,32,"USA","CFSAN007983","PDT000024516.3","CA"
"chicken",2,7,"USA","CFSAN007987","PDT000024519.3","CA"
"chicken",7,7,"USA","CFSAN007988","PDT000024520.3","CA"
"chicken",12,13,"USA","CFSAN012350","PDT000027722.4","NY"
"dairy",1,2,"USA","CFSAN010973","PDT000004382.3","DC"
"pork",0,35,"USA","ACF1400367","PDT000004423.3","TX"
"dairy",5,6,"USA","CFSAN010972","PDT000004425.3","DC"
"dairy",2,29,"USA","MDH-2014-00764","PDT000025596.3","MN"
"dairy",0,0,"USA","CFSAN006122","PDT000029758.2","MN"
"beans",16,43,"USA","CFSAN008017","PDT000024540.3","WA"
"beans",0,22,"USA","CFSAN008027","PDT000024543.3","WA"
"beans",0,22,"USA","CFSAN008035","PDT000024548.3","WA"
"dairy",0,1,"USA","VA-WGS-00239","PDT000004053.3","VA"
"dairy",0,1,"USA","VA-WGS-00240","PDT000004054.3","VA"
"dairy",0,1,"USA","VA-WGS-00241","PDT000004055.3","VA"
"fish",13,23,"USA","FDA179261","PDT000081169.2","AK"
"fish",1,19,"USA","FDA671760 2-16","PDT000081196.3","WA"
"water",0,8,"USA","CFSAN036106","PDT000081204.3","WI"
"fish",13,15,"USA","FDA437641 4-1","PDT000081240.3","WA"
"fish",1,18,"USA","FDA671760 1-1","PDT000081249.3","WA"
"beef",2,32,"USA","CFSAN036814","PDT000081636.2","OH"
"beef",0,30,"USA","CFSAN036813","PDT000081654.2","OH"
"pork",0,30,"USA","TX-ACF1400446","PDT000069989.2","TX"
"beef",0,32,"USA","FDA918091-A-A","PDT000072471.2","NM"
"chicken",6,19,"USA","CFSAN028702","PDT000072476.3","GA"
"fish",0,11,"USA","CFSAN028693","PDT000072506.2","GA"
"beef",0,32,"USA","FDA918091-B-A","PDT000072523.2","NM"
"fish",2,11,"USA","CFSAN028695","PDT000072535.2","GA"
"chicken",0,36,"USA","CFSAN028701","PDT000072547.2","GA"
"chicken",0,14,"USA","CFSAN028755","PDT000072559.2","GA"
"chicken",0,14,"USA","CFSAN028756","PDT000072572.2","GA"
"fish",2,11,"USA","CFSAN028696","PDT000072585.2","GA"
"fish",0,11,"USA","CFSAN028694","PDT000072596.2","GA"
"fish",3,16,"USA","FDA230702-1","PDT000077330.2","NY"
"fish",3,17,"USA","FDA694252-1","PDT000077334.2","NY"
"fish",17,14,"USA","FDA476976-Pal2","PDT000077336.2","NY"
"avocado",12,14,"USA","FDA911512-1","PDT000077433.4","MI"
"fish",5,3,"USA","FDA899586","PDT000069218.5","USA"
"fish",19,43,"USA","FDA337437","PDT000069785.2","OK"
"pork",5,35,"USA","TX-ACF1400883","PDT000077826.2","TX"
"pork",0,30,"USA","TX-ACF1401440","PDT000077836.2","TX"
"pork",2,32,"USA","TX-ACF1400453","PDT000077839.2","TX"
"pork",4,32,"USA","TX-ACF1400463","PDT000077840.2","TX"
"dairy",2,7,"USA","CFSAN034234","PDT000072644.2","TX"
"fish",0,26,"USA","CFSAN028726","PDT000072645.2","CT"
"pork",0,30,"USA","TX-ACF1400448","PDT000077062.2","TX"
"fish",2,28,"USA","CFSAN028725","PDT000072605.2","CT"
"chicken",0,11,"USA","FLAG-64653","PDT000112943.2","FL"
"chicken",0,11,"USA","FLAG-64656","PDT000113070.2","FL"
"chicken",0,11,"USA","FLAG-64657","PDT000113071.2","FL"
"chicken",0,11,"USA","FLAG-64655","PDT000113075.2","FL"
"chicken",0,11,"USA","FLAG-64654","PDT000113076.2","FL"
"pork",1,28,"USA","FLAG-64732","PDT000113092.2","FL"
"water",3,27,"USA","CFSAN026588","PDT000113111.1","NC"
"water",3,26,"USA","CFSAN026589","PDT000113112.1","NC"
"pork",3,3,"USA","FLAG-66752","PDT000121700.2","FL"
"chicken",1,12,"USA","FLAG-64658","PDT000121702.2","FL"
"fish",6,12,"USA","FLAG-48684","PDT000121869.2","FL"
"beef",11,20,"USA","FLAG-47892","PDT000121873.2","FL"
"fish",10,15,"USA","FLAG-47815","PDT000121879.2","FL"
"dairy",17,15,"USA","ARS-CC9264","PDT000114437.2","VT"
"dairy",16,23,"USA","ARS-CC9271","PDT000114444.2","OH"
"dairy",29,30,"USA","ARS-CC9272","PDT000114445.2","WI"
"dairy",0,19,"USA","ARS-CC9248","PDT000114557.2","MI"
"fish",10,25,"USA","FLAG-50817A","PDT000113664.4","FL"
"dairy",30,20,"USA","ARS-CC9211","PDT000111464.2","CO"
"dairy",0,19,"USA","ARS-CC9221","PDT000111470.2","MI"
"pork",3,6,"USA","FLAG-35268","PDT000156429.2","FL"
"pork",3,6,"USA","FLAG-35267","PDT000156439.2","FL"
"dairy",0,0,"USA","C2013013307","PDT000157373.2","MN"
"dairy",1,1,"USA","C2013013305","PDT000157434.2","MN"
"chicken",19,18,"USA","16B12404-1","PDT000158265.2","NY"
"fish",24,20,"USA","14B06703-1","PDT000158266.2","NY"
"fish",0,23,"USA","13B11436-4","PDT000158268.2","NY"
"dairy",30,23,"USA","14B04325C-4","PDT000158270.2","NY"
"pork",1,27,"USA","FLAG-29604","PDT000158334.2","FL"
"pork",0,26,"USA","FLAG-29605","PDT000158351.2","FL"
"dairy",23,21,"USA","FLAG-38620","PDT000154627.2","FL"
"pork",0,5,"USA","FLAG-38436","PDT000154630.2","FL"
"pork",0,5,"USA","FLAG-38435","PDT000154631.2","FL"
"pork",0,5,"USA","FLAG-38434","PDT000154641.2","FL"
"fish",4,5,"USA","FLAG-38393","PDT000154643.2","FL"
"beef",0,27,"USA","C2004004289","PDT000154657.2","MN"
"dairy",2,29,"USA","C2010001340","PDT000154659.2","MN"
"pork",17,15,"USA","FLAG-22451","PDT000227125.2","FL"
"dairy",5,10,"USA","WAPHL_LIS_A00032","PDT000226127.1","WA"
"dairy",0,1,"USA","MOD1-LS1197","PDT000218190.2","TX"
"dairy",8,9,"USA","MOD1-LS1127","PDT000218197.2","TX"
"dairy",0,7,"USA","MOD1-LS1137","PDT000218202.2","TX"
"dairy",0,3,"USA","MOD1-LS1128","PDT000218205.2","TX"
"dairy",0,3,"USA","MOD1-LS1126","PDT000218206.2","TX"
"dairy",0,9,"USA","MOD1-LS1133","PDT000218207.2","TX"
